CatID, ArrRow, ArrCol, PartRow, PartCol, DataFlowID,
0, 4, 4, 1, 1024, 0,
1, 4, 4, 1, 1024, 1,
2, 4, 4, 1, 1024, 2,
3, 4, 4, 2, 512, 0,
4, 4, 4, 2, 512, 1,
5, 4, 4, 2, 512, 2,
6, 4, 4, 4, 256, 0,
7, 4, 4, 4, 256, 1,
8, 4, 4, 4, 256, 2,
9, 4, 4, 8, 128, 0,
10, 4, 4, 8, 128, 1,
11, 4, 4, 8, 128, 2,
12, 4, 4, 16, 64, 0,
13, 4, 4, 16, 64, 1,
14, 4, 4, 16, 64, 2,
15, 4, 4, 32, 32, 0,
16, 4, 4, 32, 32, 1,
17, 4, 4, 32, 32, 2,
18, 4, 4, 64, 16, 0,
19, 4, 4, 64, 16, 1,
20, 4, 4, 64, 16, 2,
21, 4, 4, 128, 8, 0,
22, 4, 4, 128, 8, 1,
23, 4, 4, 128, 8, 2,
24, 4, 4, 256, 4, 0,
25, 4, 4, 256, 4, 1,
26, 4, 4, 256, 4, 2,
27, 4, 4, 512, 2, 0,
28, 4, 4, 512, 2, 1,
29, 4, 4, 512, 2, 2,
30, 4, 4, 1024, 1, 0,
31, 4, 4, 1024, 1, 1,
32, 4, 4, 1024, 1, 2,
33, 4, 8, 1, 512, 0,
34, 4, 8, 1, 512, 1,
35, 4, 8, 1, 512, 2,
36, 8, 4, 1, 512, 0,
37, 8, 4, 1, 512, 1,
38, 8, 4, 1, 512, 2,
39, 4, 8, 2, 256, 0,
40, 4, 8, 2, 256, 1,
41, 4, 8, 2, 256, 2,
42, 8, 4, 2, 256, 0,
43, 8, 4, 2, 256, 1,
44, 8, 4, 2, 256, 2,
45, 4, 8, 4, 128, 0,
46, 4, 8, 4, 128, 1,
47, 4, 8, 4, 128, 2,
48, 8, 4, 4, 128, 0,
49, 8, 4, 4, 128, 1,
50, 8, 4, 4, 128, 2,
51, 4, 8, 8, 64, 0,
52, 4, 8, 8, 64, 1,
53, 4, 8, 8, 64, 2,
54, 8, 4, 8, 64, 0,
55, 8, 4, 8, 64, 1,
