CatID, ArrRow, ArrCol, PartRow, PartCol, DataFlowID,
0, 4, 4, 1, 8192, 0,
1, 4, 4, 1, 8192, 1,
2, 4, 4, 1, 8192, 2,
3, 4, 4, 2, 4096, 0,
4, 4, 4, 2, 4096, 1,
5, 4, 4, 2, 4096, 2,
6, 4, 4, 4, 2048, 0,
7, 4, 4, 4, 2048, 1,
8, 4, 4, 4, 2048, 2,
9, 4, 4, 8, 1024, 0,
10, 4, 4, 8, 1024, 1,
11, 4, 4, 8, 1024, 2,
12, 4, 4, 16, 512, 0,
13, 4, 4, 16, 512, 1,
14, 4, 4, 16, 512, 2,
15, 4, 4, 32, 256, 0,
16, 4, 4, 32, 256, 1,
17, 4, 4, 32, 256, 2,
18, 4, 4, 64, 128, 0,
19, 4, 4, 64, 128, 1,
20, 4, 4, 64, 128, 2,
21, 4, 4, 128, 64, 0,
22, 4, 4, 128, 64, 1,
23, 4, 4, 128, 64, 2,
24, 4, 4, 256, 32, 0,
25, 4, 4, 256, 32, 1,
26, 4, 4, 256, 32, 2,
27, 4, 4, 512, 16, 0,
28, 4, 4, 512, 16, 1,
29, 4, 4, 512, 16, 2,
30, 4, 4, 1024, 8, 0,
31, 4, 4, 1024, 8, 1,
32, 4, 4, 1024, 8, 2,
33, 4, 4, 2048, 4, 0,
34, 4, 4, 2048, 4, 1,
35, 4, 4, 2048, 4, 2,
36, 4, 4, 4096, 2, 0,
37, 4, 4, 4096, 2, 1,
38, 4, 4, 4096, 2, 2,
39, 4, 4, 8192, 1, 0,
40, 4, 4, 8192, 1, 1,
41, 4, 4, 8192, 1, 2,
42, 4, 8, 1, 4096, 0,
43, 4, 8, 1, 4096, 1,
44, 4, 8, 1, 4096, 2,
45, 8, 4, 1, 4096, 0,
46, 8, 4, 1, 4096, 1,
47, 8, 4, 1, 4096, 2,
48, 4, 8, 2, 2048, 0,
49, 4, 8, 2, 2048, 1,
50, 4, 8, 2, 2048, 2,
51, 8, 4, 2, 2048, 0,
52, 8, 4, 2, 2048, 1,
53, 8, 4, 2, 2048, 2,
54, 4, 8, 4, 1024, 0,
55, 4, 8, 4, 1024, 1,
56, 4, 8, 4, 1024, 2,
57, 8, 4, 4, 1024, 0,
58, 8, 4, 4, 1024, 1,
59, 8, 4, 4, 1024, 2,
60, 4, 8, 8, 512, 0,
61, 4, 8, 8, 512, 1,
62, 4, 8, 8, 512, 2,
63, 8, 4, 8, 512, 0,
64, 8, 4, 8, 512, 1,
65, 8, 4, 8, 512, 2,
66, 4, 8, 16, 256, 0,
67, 4, 8, 16, 256, 1,
68, 4, 8, 16, 256, 2,
69, 8, 4, 16, 256, 0,
70, 8, 4, 16, 256, 1,
71, 8, 4, 16, 256, 2,
72, 4, 8, 32, 128, 0,
73, 4, 8, 32, 128, 1,
74, 4, 8, 32, 128, 2,
75, 8, 4, 32, 128, 0,
76, 8, 4, 32, 128, 1,
77, 8, 4, 32, 128, 2,
78, 4, 8, 64, 64, 0,
79, 4, 8, 64, 64, 1,
80, 4, 8, 64, 64, 2,
81, 8, 4, 64, 64, 0,
82, 8, 4, 64, 64, 1,
83, 8, 4, 64, 64, 2,
84, 4, 8, 128, 32, 0,
85, 4, 8, 128, 32, 1,
86, 4, 8, 128, 32, 2,
87, 8, 4, 128, 32, 0,
88, 8, 4, 128, 32, 1,
89, 8, 4, 128, 32, 2,
90, 4, 8, 256, 16, 0,
91, 4, 8, 256, 16, 1,
92, 4, 8, 256, 16, 2,
93, 8, 4, 256, 16, 0,
94, 8, 4, 256, 16, 1,
